Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Rider Fare Acceptance Rate,Driver Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Driver Cancellation Rate,User Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
"Other Wards","81,33,703","73,56,167","51,56,257","26,07,694","25,70,899","15,98,601","90.4%","70.1%","50.6%","98.6%","9,71,763","37.8%","21.6%","16.0%","19.7%","₹33,92,30,164","12.06","₹212.20","1,92,80,837"
"Shantala Nagar","61,75,930","58,50,155","52,95,242","21,13,091","20,87,971","11,83,212","94.7%","90.5%","39.9%","98.8%","9,04,224","43.3%","26.5%","16.6%","19.2%","₹17,82,90,234","7.79","₹150.68","92,20,985"
"Doddakanahalli","43,09,076","40,83,256","36,12,709","14,51,258","14,35,301","8,54,813","94.8%","88.5%","40.2%","98.9%","5,80,109","40.4%","25.3%","15.0%","19.8%","₹14,72,99,291","9.34","₹172.32","79,84,641"
"Koramangala","28,91,239","27,70,148","24,48,768","12,39,023","12,19,137","7,88,423","95.8%","88.4%","50.6%","98.4%","4,30,374","35.3%","20.0%","15.2%","27.3%","₹10,58,73,427","6.99","₹134.29","55,08,718"
"Agara","28,03,555","26,70,185","23,47,384","11,92,579","11,74,330","7,74,875","95.2%","87.9%","50.8%","98.5%","3,99,214","34.0%","19.1%","14.8%","27.6%","₹10,88,65,582","7.44","₹140.49","57,65,656"
"Adugodi","28,99,043","27,73,447","24,32,182","12,21,937","12,00,844","7,24,893","95.7%","87.7%","50.2%","98.3%","4,75,478","39.6%","23.2%","16.2%","25.0%","₹10,23,69,710","7.25","₹141.22","52,57,862"
"Suddagunte Palya","31,39,871","29,96,672","26,66,840","12,19,468","12,00,458","6,70,040","95.4%","89.0%","45.7%","98.4%","5,30,139","44.2%","25.8%","18.2%","21.3%","₹9,02,67,624","7.14","₹134.72","47,87,302"
"Vasanth Nagar","25,05,850","24,06,233","20,64,543","10,60,147","10,46,181","6,61,530","96.0%","85.8%","51.4%","98.7%","3,84,410","36.7%","21.9%","14.7%","26.4%","₹9,10,30,618","7.43","₹137.61","49,13,438"
"Bellanduru","33,12,034","31,15,433","28,26,424","10,72,734","10,59,482","6,28,941","94.1%","90.7%","38.0%","98.8%","4,30,287","40.6%","26.0%","14.4%","19.0%","₹11,08,61,709","9.64","₹176.27","60,60,170"
"Hoysala Nagar","18,82,291","18,17,706","15,49,979","8,38,880","8,29,737","5,61,009","96.6%","85.3%","54.1%","98.9%","2,68,527","32.4%","18.7%","13.5%","29.8%","₹7,03,30,374","6.42","₹125.36","36,04,227"
"HRBR Layout","14,14,664","13,81,975","11,42,054","7,79,028","7,71,119","5,40,707","97.7%","82.6%","68.2%","99.0%","2,30,262","29.9%","17.5%","12.2%","38.2%","₹6,68,86,228","6.49","₹123.70","35,06,627"
"Old Thippasandra","16,47,475","15,89,291","14,01,105","7,80,593","7,71,664","5,11,430","96.5%","88.2%","55.7%","98.9%","2,60,026","33.7%","19.7%","13.9%","31.0%","₹6,83,81,889","6.85","₹133.71","35,05,714"
"Domlur","18,07,689","17,32,280","15,40,677","7,79,577","7,70,684","5,09,139","95.8%","88.9%","50.6%","98.9%","2,61,339","33.9%","19.7%","14.0%","28.2%","₹7,05,53,170","7.10","₹138.57","36,13,283"
"Byrasandra","15,71,267","15,26,587","12,41,617","7,47,082","7,38,015","4,98,392","97.2%","81.3%","60.2%","98.8%","2,39,503","32.5%","18.4%","13.9%","31.7%","₹5,94,06,144","6.32","₹119.20","31,51,570"
"Marathahalli","28,91,076","27,39,744","24,09,107","9,05,589","8,95,323","4,93,171","94.8%","87.9%","37.6%","98.9%","4,01,922","44.9%","28.5%","16.2%","17.1%","₹8,87,99,418","9.68","₹180.06","47,74,722"
"Jakkuru","17,23,234","16,71,010","13,28,788","7,82,545","7,71,199","4,89,290","97.0%","79.5%","58.9%","98.6%","2,81,751","36.5%","22.9%","13.5%","28.4%","₹8,09,82,165","9.19","₹165.51","44,97,497"
"Sampangiram Nagar","24,15,108","23,04,921","19,88,946","9,14,118","9,04,119","4,78,454","95.4%","86.3%","46.0%","98.9%","4,25,491","47.1%","29.9%","17.0%","19.8%","₹7,10,32,770","8.05","₹148.46","38,51,266"
"Whitefield","23,02,818","22,00,727","18,84,182","7,71,389","7,63,449","4,59,816","95.6%","85.6%","40.9%","99.0%","3,03,474","39.8%","25.3%","14.3%","20.0%","₹7,62,60,013","8.17","₹165.85","37,57,763"
"Gandhinagar","14,92,209","14,60,346","10,17,640","7,19,398","7,10,628","4,42,946","97.9%","69.7%","70.7%","98.8%","2,67,557","37.7%","21.9%","15.6%","29.7%","₹6,82,95,165","8.42","₹154.18","37,30,069"
"Aramane Nagara","13,51,246","13,16,407","10,31,167","6,82,255","6,71,125","4,37,403","97.4%","78.3%","66.2%","98.4%","2,33,597","34.8%","20.0%","14.6%","32.4%","₹5,96,52,092","7.45","₹136.38","32,58,593"
"Madivala","17,35,039","16,65,828","14,35,657","7,01,033","6,90,490","4,08,201","96.0%","86.2%","48.8%","98.5%","2,82,142","40.9%","24.0%","16.7%","23.5%","₹5,21,23,668","6.70","₹127.69","27,36,443"
"Vinayakanagar","13,54,162","13,11,461","10,93,519","6,52,849","6,44,669","4,05,156","96.8%","83.4%","59.7%","98.7%","2,39,370","37.1%","22.1%","14.9%","29.9%","₹5,48,92,811","7.22","₹135.49","29,27,121"
"J P Nagar","12,95,171","12,61,086","10,30,166","6,33,790","6,25,139","4,03,747","97.4%","81.7%","61.5%","98.6%","2,21,237","35.4%","20.6%","14.6%","31.2%","₹5,09,19,121","6.68","₹126.12","26,97,512"
"Munnekollala","25,05,353","23,59,723","21,09,241","7,29,672","7,20,370","4,01,549","94.2%","89.4%","34.6%","98.7%","3,18,668","44.2%","28.8%","15.3%","16.0%","₹7,21,43,673","9.77","₹179.66","39,21,357"
"Jeevanbhima Nagar","16,56,897","15,80,617","14,14,608","6,54,347","6,44,992","3,94,328","95.4%","89.5%","46.3%","98.6%","2,50,492","38.8%","24.0%","14.7%","23.8%","₹6,01,46,830","8.14","₹152.53","32,10,564"
"Horamavu","13,87,106","13,42,860","10,91,181","6,08,002","6,00,015","3,94,045","96.8%","81.3%","55.7%","98.7%","2,05,868","34.3%","21.9%","12.3%","28.4%","₹6,14,05,286","7.78","₹155.83","30,64,046"
"Hudi","17,97,313","17,22,617","14,62,665","6,55,092","6,48,984","3,88,187","95.8%","84.9%","44.8%","99.1%","2,60,641","40.2%","26.4%","13.6%","21.6%","₹6,55,26,705","9.13","₹168.80","35,43,856"
"Kempapura","12,39,705","12,06,797","9,46,226","6,02,477","5,93,910","3,88,178","97.3%","78.4%","63.7%","98.6%","2,05,615","34.6%","21.3%","13.2%","31.3%","₹5,81,62,340","8.27","₹149.83","32,11,904"
"Ejipura","14,69,711","14,14,186","12,35,921","6,38,649","6,31,152","3,80,603","96.2%","87.4%","51.7%","98.8%","2,50,386","39.7%","24.1%","15.5%","25.9%","₹4,94,61,250","6.76","₹129.96","25,73,279"
"New Thippasandra","13,08,843","12,54,803","10,89,409","5,58,326","5,51,711","3,66,439","95.9%","86.8%","51.3%","98.8%","1,85,151","33.6%","20.3%","13.2%","28.0%","₹5,20,13,826","7.55","₹141.94","27,65,203"
"Banasavadi","11,36,061","11,01,656","9,11,961","5,35,611","5,28,799","3,59,857","97.0%","82.8%","58.7%","98.7%","1,68,821","31.9%","19.5%","12.3%","31.7%","₹4,83,97,295","7.21","₹134.49","25,94,545"
