Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Rider Fare Acceptance Rate,Driver Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Driver Cancellation Rate,User Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Other Wards,8133703,7356167,5156257,2607694,2570899,1598601,0.904,0.701,0.506,0.986,971763,37.8%,0.21600000000000003,0.16,0.19699999999999998,339230164,12.06,212.2,19280837
Shantala Nagar,6175930,5850155,5295242,2113091,2087971,1183212,0.9470000000000001,0.905,0.39899999999999997,0.988,904224,43.3%,0.265,0.166,0.192,178290234,7.79,150.68,9220985
Doddakanahalli,4309076,4083256,3612709,1451258,1435301,854813,0.948,0.885,0.402,0.9890000000000001,580109,40.4%,0.253,0.15,0.198,147299291,9.34,172.32,7984641
Koramangala,2891239,2770148,2448768,1239023,1219137,788423,0.958,0.884,0.506,0.9840000000000001,430374,35.3%,0.2,0.152,0.273,105873427,6.99,134.29,5508718
Agara,2803555,2670185,2347384,1192579,1174330,774875,0.9520000000000001,0.879,0.508,0.985,399214,34.0%,0.191,0.14800000000000002,0.276,108865582,7.44,140.49,5765656
Adugodi,2899043,2773447,2432182,1221937,1200844,724893,0.9570000000000001,0.877,0.502,0.983,475478,39.6%,0.23199999999999998,0.162,0.25,102369710,7.25,141.22,5257862
Suddagunte Palya,3139871,2996672,2666840,1219468,1200458,670040,0.9540000000000001,0.89,0.457,0.9840000000000001,530139,44.2%,0.258,0.182,0.213,90267624,7.14,134.72,4787302
Vasanth Nagar,2505850,2406233,2064543,1060147,1046181,661530,0.96,0.858,0.514,0.987,384410,36.7%,0.21899999999999997,0.147,0.264,91030618,7.43,137.61,4913438
Bellanduru,3312034,3115433,2826424,1072734,1059482,628941,0.941,0.907,0.38,0.988,430287,40.6%,0.26,0.14400000000000002,0.19,110861709,9.64,176.27,6060170
Hoysala Nagar,1882291,1817706,1549979,838880,829737,561009,0.966,0.853,0.541,0.9890000000000001,268527,32.4%,0.187,0.135,0.298,70330374,6.42,125.36,3604227
HRBR Layout,1414664,1381975,1142054,779028,771119,540707,0.977,0.826,0.682,0.99,230262,29.9%,0.175,0.122,0.382,66886228,6.49,123.7,3506627
Old Thippasandra,1647475,1589291,1401105,780593,771664,511430,0.965,0.882,0.557,0.9890000000000001,260026,33.7%,0.19699999999999998,0.139,0.31,68381889,6.85,133.71,3505714
Domlur,1807689,1732280,1540677,779577,770684,509139,0.958,0.889,0.506,0.9890000000000001,261339,33.9%,0.19699999999999998,0.14,0.282,70553170,7.1,138.57,3613283
Byrasandra,1571267,1526587,1241617,747082,738015,498392,0.972,0.813,0.602,0.988,239503,32.5%,0.184,0.139,0.317,59406144,6.32,119.2,3151570
Marathahalli,2891076,2739744,2409107,905589,895323,493171,0.948,0.879,0.376,0.9890000000000001,401922,44.9%,0.285,0.162,0.171,88799418,9.68,180.06,4774722
Jakkuru,1723234,1671010,1328788,782545,771199,489290,0.97,0.795,0.589,0.986,281751,36.5%,0.22899999999999998,0.135,0.284,80982165,9.19,165.51,4497497
Sampangiram Nagar,2415108,2304921,1988946,914118,904119,478454,0.9540000000000001,0.863,0.46,0.9890000000000001,425491,47.1%,0.299,0.17,0.198,71032770,8.05,148.46,3851266
Whitefield,2302818,2200727,1884182,771389,763449,459816,0.956,0.856,0.409,0.99,303474,39.8%,0.253,0.14300000000000002,0.2,76260013,8.17,165.85,3757763
Gandhinagar,1492209,1460346,1017640,719398,710628,442946,0.9790000000000001,0.6970000000000001,0.7070000000000001,0.988,267557,37.7%,0.21899999999999997,0.156,0.297,68295165,8.42,154.18,3730069
Aramane Nagara,1351246,1316407,1031167,682255,671125,437403,0.9740000000000001,0.7829999999999999,0.662,0.9840000000000001,233597,34.8%,0.2,0.146,0.324,59652092,7.45,136.38,3258593
Madivala,1735039,1665828,1435657,701033,690490,408201,0.96,0.862,0.488,0.985,282142,40.9%,0.24,0.16699999999999998,0.235,52123668,6.7,127.69,2736443
Vinayakanagar,1354162,1311461,1093519,652849,644669,405156,0.968,0.8340000000000001,0.597,0.987,239370,37.1%,0.221,0.149,0.299,54892811,7.22,135.49,2927121
J P Nagar,1295171,1261086,1030166,633790,625139,403747,0.9740000000000001,0.8170000000000001,0.615,0.986,221237,35.4%,0.20600000000000002,0.146,0.312,50919121,6.68,126.12,2697512
Munnekollala,2505353,2359723,2109241,729672,720370,401549,0.9420000000000001,0.894,0.34600000000000003,0.987,318668,44.2%,0.28800000000000003,0.153,0.16,72143673,9.77,179.66,3921357
Jeevanbhima Nagar,1656897,1580617,1414608,654347,644992,394328,0.9540000000000001,0.895,0.46299999999999997,0.986,250492,38.8%,0.24,0.147,0.23800000000000002,60146830,8.14,152.53,3210564
Horamavu,1387106,1342860,1091181,608002,600015,394045,0.968,0.813,0.557,0.987,205868,34.3%,0.21899999999999997,0.12300000000000001,0.284,61405286,7.78,155.83,3064046
Hudi,1797313,1722617,1462665,655092,648984,388187,0.958,0.8490000000000001,0.44799999999999995,0.991,260641,40.2%,0.264,0.136,0.21600000000000003,65526705,9.13,168.8,3543856
Kempapura,1239705,1206797,946226,602477,593910,388178,0.973,0.784,0.637,0.986,205615,34.6%,0.213,0.132,0.313,58162340,8.27,149.83,3211904
Ejipura,1469711,1414186,1235921,638649,631152,380603,0.9620000000000001,0.8740000000000001,0.517,0.988,250386,39.7%,0.24100000000000002,0.155,0.259,49461250,6.76,129.96,2573279
New Thippasandra,1308843,1254803,1089409,558326,551711,366439,0.9590000000000001,0.868,0.513,0.988,185151,33.6%,0.203,0.132,0.28,52013826,7.55,141.94,2765203
Banasavadi,1136061,1101656,911961,535611,528799,359857,0.97,0.828,0.5870000000000001,0.987,168821,31.9%,0.195,0.12300000000000001,0.317,48397295,7.21,134.49,2594545
Pulikeshinagar,1131155,1096676,923708,541704,536749,356970,0.97,0.8420000000000001,0.586,0.991,179653,33.5%,0.19899999999999998,0.134,0.316,41530304,5.99,116.34,2139072
Ulsoor,1522626,1448321,1300199,586827,580888,351878,0.951,0.898,0.451,0.99,228884,39.4%,0.243,0.15,0.231,49508620,7.45,140.7,2619913
Hennur,1158513,1128034,886617,548686,542361,350120,0.9740000000000001,0.7859999999999999,0.619,0.988,192133,35.4%,0.21600000000000003,0.136,0.302,48052741,7.43,137.25,2601170
Kalkere,1450871,1395388,1173159,538212,533089,348320,0.9620000000000001,0.841,0.45899999999999996,0.99,184656,34.6%,0.23199999999999998,0.113,0.24,55709319,8.75,159.94,3048245
Belathur,1436630,1389950,1097322,555177,549856,345165,0.968,0.789,0.506,0.99,204569,37.2%,0.235,0.136,0.24,56053762,8.85,162.4,3055837
Shakambari Nagar,1018028,995245,766787,508897,501617,341186,0.978,0.77,0.664,0.986,160324,32.0%,0.18100000000000002,0.138,0.335,40144323,6.25,117.66,2130847
HSR - Singasandra,1480692,1412927,1192948,579141,570306,330971,0.9540000000000001,0.8440000000000001,0.485,0.985,239223,41.9%,0.254,0.16399999999999998,0.22399999999999998,49005197,7.99,148.06,2645705
AECS Layout,1749337,1664213,1442490,554821,548896,327204,0.951,0.867,0.385,0.9890000000000001,221561,40.4%,0.256,0.146,0.187,53382754,8.69,163.15,2843970
C V Raman Nagar,1330270,1272727,1067949,530752,525475,326671,0.9570000000000001,0.8390000000000001,0.49700000000000005,0.99,198703,37.8%,0.242,0.135,0.24600000000000002,45670694,7.47,139.81,2441018
Dodda Nekkundi,1525394,1451172,1238282,537224,531190,324385,0.951,0.853,0.434,0.9890000000000001,206687,38.9%,0.245,0.142,0.213,54062794,9.06,166.66,2939259
Mahadevapura,1400421,1335681,1130692,518510,513486,317414,0.9540000000000001,0.847,0.45899999999999996,0.99,195971,38.2%,0.248,0.133,0.22699999999999998,48285879,8.13,152.12,2581024
Jnana Bharathi,791319,781734,554281,444695,438818,303604,0.988,0.7090000000000001,0.802,0.987,135120,30.8%,0.183,0.124,0.384,39314202,7.18,129.49,2178875
Subramanyapura,894200,875115,676594,446812,440094,302614,0.9790000000000001,0.773,0.66,0.985,137393,31.2%,0.20600000000000002,0.105,0.33799999999999997,42385132,7.78,140.06,2353641
Byatarayanapura,891249,870868,670240,460644,454786,300591,0.977,0.77,0.687,0.987,154109,33.9%,0.212,0.125,0.337,47524236,8.73,158.1,2624418
Vishveshwara Puram,989717,964120,742530,470108,464423,298867,0.9740000000000001,0.77,0.633,0.988,165462,35.6%,0.204,0.151,0.302,35756474,6.41,119.64,1914659
Babusab Palya,1109795,1068908,900817,470084,464548,298068,0.963,0.843,0.522,0.988,166381,35.8%,0.23199999999999998,0.124,0.26899999999999996,41320282,7.42,138.63,2212743
Kalena Agrahara,1171800,1123459,927462,455468,449212,292629,0.9590000000000001,0.826,0.491,0.986,156499,34.8%,0.21899999999999997,0.128,0.25,50583774,9.64,172.86,2821446
BTM Layout,1383552,1322906,1123602,504478,497052,289354,0.956,0.8490000000000001,0.449,0.985,207608,41.8%,0.255,0.161,0.209,38549287,7.04,133.23,2036827
Sarakki,830093,813200,650891,444246,437813,287937,0.98,0.8,0.6829999999999999,0.986,149780,34.2%,0.195,0.146,0.34700000000000003,34319249,6.24,119.19,1796957
Hulimavu,1010099,978401,795032,446394,440252,285485,0.9690000000000001,0.813,0.561,0.986,154674,35.1%,0.205,0.14400000000000002,0.28300000000000003,40971638,7.79,143.52,2223785
Jogupalya,938290,902420,791406,426844,421846,281264,0.9620000000000001,0.877,0.539,0.988,140495,33.3%,0.201,0.13,0.3,35348600,6.55,125.68,1843196
Rajarajeshwari Nagar,708636,700290,492694,402470,395861,280274,0.988,0.7040000000000001,0.8170000000000001,0.9840000000000001,115507,29.2%,0.18100000000000002,0.109,0.396,40108300,8.06,143.1,2258104
N S Palya,1068393,1026920,866894,440922,434241,279749,0.961,0.8440000000000001,0.509,0.985,154400,35.6%,0.20600000000000002,0.14800000000000002,0.262,37455143,7.14,133.89,1997385
Ibluru,1195368,1131972,1004433,446585,440481,275486,0.9470000000000001,0.887,0.445,0.986,164903,37.4%,0.221,0.152,0.23,42696317,8.36,154.99,2303358
Kogilu,815822,799132,552521,410022,402198,269179,0.98,0.691,0.742,0.981,132949,33.1%,0.19699999999999998,0.132,0.33,51395203,10.98,190.93,2954423
Hemmigepura,829971,811935,562398,402505,397417,268230,0.978,0.693,0.716,0.987,129116,32.5%,0.196,0.127,0.32299999999999995,39021266,8.16,145.48,2187721
Rupenaagrahara,1154753,1105512,934486,448029,441381,266238,0.9570000000000001,0.845,0.479,0.985,175042,39.7%,0.239,0.156,0.231,41037315,8.38,154.14,2230016
A Narayanapura,1153797,1109890,883927,438967,434572,252472,0.9620000000000001,0.7959999999999999,0.49700000000000005,0.99,182000,41.9%,0.27399999999999997,0.14300000000000002,0.21899999999999997,38995401,7.49,154.45,1890906
Lingarajapura,717130,695224,594931,374306,370599,251720,0.9690000000000001,0.856,0.629,0.99,118813,32.1%,0.2,0.12,0.35100000000000003,30556688,6.36,121.39,1601567
Konena Agrahara,975967,932078,819566,391007,386944,249949,0.955,0.879,0.47700000000000004,0.99,136917,35.4%,0.218,0.134,0.256,37239910,7.0,148.99,1998433
Kadu Malleshwara,598967,589491,453738,350976,346332,249721,0.9840000000000001,0.77,0.774,0.987,96556,27.9%,0.158,0.12,0.41700000000000004,32340396,7.13,129.51,1781303
Konanakunte,739911,726436,545150,386180,380579,247642,0.982,0.75,0.708,0.985,132875,34.9%,0.213,0.135,0.335,31741469,6.87,128.17,1701463
Subhash Nagar,826526,811379,551196,402533,397920,244249,0.982,0.679,0.73,0.9890000000000001,153616,38.6%,0.22399999999999998,0.16,0.29600000000000004,39323085,8.76,160.0,2139491
Sunkenahalli,639137,625957,490200,352297,347592,240678,0.9790000000000001,0.7829999999999999,0.7190000000000001,0.987,106867,30.7%,0.17300000000000001,0.133,0.377,28829889,6.49,119.79,1563046
Amrutahalli,767037,744448,584716,371573,366956,239311,0.971,0.785,0.635,0.988,127578,34.8%,0.22,0.126,0.312,37448934,8.66,156.49,2073129
Lal Bahadur Nagar,795315,768699,611842,347792,344065,230796,0.9670000000000001,0.7959999999999999,0.568,0.9890000000000001,113185,32.9%,0.209,0.11900000000000001,0.29,31760558,7.37,137.61,1701123
Radhakrishna Temple Ward,582421,571951,447898,336596,330692,228800,0.982,0.7829999999999999,0.752,0.982,101825,30.8%,0.18100000000000002,0.126,0.39299999999999996,31092137,7.44,135.89,1701588
