Time,Registered Users,Enabled Drivers
"Nov 01, 2022","11,084","704"
"Nov 02, 2022","8,393","572"
"Nov 03, 2022","5,040","547"
"Nov 04, 2022","3,519","553"
"Nov 05, 2022","4,800","405"
"Nov 06, 2022","6,345","335"
"Nov 07, 2022","6,258","355"
"Nov 08, 2022","3,098","343"
"Nov 09, 2022","3,118","256"
"Nov 10, 2022","2,722","269"
"Nov 11, 2022","3,846","221"
"Nov 12, 2022","4,010","175"
"Nov 13, 2022","2,472","146"
"Nov 14, 2022","2,137","141"
"Nov 15, 2022","1,852","155"
"Nov 16, 2022","1,889","171"
"Nov 17, 2022","2,170","144"
"Nov 18, 2022","2,261","155"
"Nov 19, 2022","3,061","117"
"Nov 20, 2022","2,187","98"
"Nov 21, 2022","1,308","114"
"Nov 22, 2022","1,179","165"
"Nov 23, 2022","1,335","132"
"Nov 24, 2022","1,793","150"
"Nov 25, 2022","1,337","111"
"Nov 26, 2022","1,534","120"
"Nov 27, 2022","1,320","79"
"Nov 28, 2022","1,015","77"
"Nov 29, 2022","871","114"
"Nov 30, 2022","815","103"
"Dec 01, 2022","860","148"
"Dec 02, 2022","990","116"
"Dec 03, 2022","1,169","130"
"Dec 04, 2022","908","71"
"Dec 05, 2022","748","120"
"Dec 06, 2022","739","158"
"Dec 07, 2022","624","119"
"Dec 08, 2022","625","118"
"Dec 09, 2022","717","95"
"Dec 10, 2022","1,804","69"
"Dec 11, 2022","1,056","54"
"Dec 12, 2022","1,057","74"
"Dec 13, 2022","967","89"
"Dec 14, 2022","682","100"
"Dec 15, 2022","655","116"
"Dec 16, 2022","762","127"
"Dec 17, 2022","1,139","109"
"Dec 18, 2022","988","85"
"Dec 19, 2022","776","105"
"Dec 20, 2022","901","113"
"Dec 21, 2022","748","133"
"Dec 22, 2022","733","108"
"Dec 23, 2022","1,494","181"
"Dec 24, 2022","1,274","116"
"Dec 25, 2022","1,237","99"
"Dec 26, 2022","998","133"
"Dec 27, 2022","945","193"
"Dec 28, 2022","1,038","239"
"Dec 29, 2022","950","109"
"Dec 30, 2022","1,054","196"
"Dec 31, 2022","1,272","160"
"Jan 01, 2023","1,179","57"
"Jan 02, 2023","1,118","155"
"Jan 03, 2023","1,165","227"
"Jan 04, 2023","1,659","232"
"Jan 05, 2023","1,302","263"
"Jan 06, 2023","1,208","277"
"Jan 07, 2023","1,512","185"
"Jan 08, 2023","1,440","118"
"Jan 09, 2023","1,243","170"
"Jan 10, 2023","1,407","219"
"Jan 11, 2023","1,419","195"
"Jan 12, 2023","1,274","203"
"Jan 13, 2023","1,211","159"
"Jan 14, 2023","1,213","149"
"Jan 15, 2023","1,019","58"
"Jan 16, 2023","1,188","125"
"Jan 17, 2023","1,306","151"
"Jan 18, 2023","1,684","168"
"Jan 19, 2023","1,252","169"
"Jan 20, 2023","1,317","252"
"Jan 21, 2023","1,411","193"
"Jan 22, 2023","1,236","51"
"Jan 23, 2023","1,403","223"
"Jan 24, 2023","3,057","264"
"Jan 25, 2023","3,807","203"
"Jan 26, 2023","3,568","195"
"Jan 27, 2023","2,735","299"
"Jan 28, 2023","2,271","250"
"Jan 29, 2023","1,889","53"
"Jan 30, 2023","1,731","172"
"Jan 31, 2023","1,794","233"
"Feb 01, 2023","1,962","218"
"Feb 02, 2023","2,099","213"
"Feb 03, 2023","2,164","200"
"Feb 04, 2023","2,943","190"
"Feb 05, 2023","2,626","51"
"Feb 06, 2023","2,537","160"
"Feb 07, 2023","2,899","176"
"Feb 08, 2023","3,216","210"
"Feb 09, 2023","3,011","300"
"Feb 10, 2023","2,886","266"
"Feb 11, 2023","3,076","235"
"Feb 12, 2023","3,434","101"
"Feb 13, 2023","2,773","155"
"Feb 14, 2023","2,748","137"
"Feb 15, 2023","2,453","199"
"Feb 16, 2023","2,373","169"
"Feb 17, 2023","2,607","196"
